iter	Passed	Remaining
0	95	18951
1	180	17855
2	269	17708
3	358	17561
4	457	17841
5	549	17776
6	638	17594
7	718	17237
8	796	16901
9	873	16597
10	954	16403
11	1037	16250
12	1115	16047
13	1191	15828
14	1267	15628
15	1343	15455
16	1421	15299
17	1495	15125
18	1571	14971
19	1647	14830
20	1724	14699
21	1803	14589
22	1891	14558
23	1971	14457
24	2046	14327
25	2121	14198
26	2197	14079
27	2273	13964
28	2350	13860
29	2426	13750
30	2504	13652
31	2579	13542
32	2656	13442
33	2732	13341
34	2811	13253
35	2886	13150
36	2960	13043
37	3038	12953
38	3115	12862
39	3191	12766
40	3271	12685
41	3345	12586
42	3421	12490
43	3497	12398
44	3572	12304
45	3649	12218
46	3727	12134
47	3805	12050
48	3881	11962
49	3959	11878
50	4034	11788
51	4114	11709
52	4187	11615
53	4263	11526
54	4337	11435
55	4413	11349
56	4490	11266
57	4565	11178
58	4640	11090
59	4716	11005
60	4790	10916
61	4865	10829
62	4944	10752
63	5021	10669
64	5097	10586
65	5172	10502
66	5250	10423
67	5328	10342
68	5403	10258
69	5480	10177
70	5555	10094
71	5630	10010
72	5707	9928
73	5782	9845
74	5858	9763
75	5935	9684
76	6010	9601
77	6087	9521
78	6164	9441
79	6240	9361
80	6318	9283
81	6393	9199
82	6470	9121
83	6544	9037
84	6619	8956
85	6694	8873
86	6769	8793
87	6845	8712
88	6943	8660
89	7041	8606
90	7117	8524
91	7191	8442
92	7266	8360
93	7342	8279
94	7419	8200
95	7497	8121
96	7574	8043
97	7659	7972
98	7736	7892
99	7810	7810
100	7887	7730
101	7965	7652
102	8041	7572
103	8118	7494
104	8192	7412
105	8267	7331
106	8343	7252
107	8419	7172
108	8495	7092
109	8570	7012
110	8647	6933
111	8723	6854
112	8800	6775
113	8876	6696
114	8955	6619
115	9034	6542
116	9113	6464
117	9188	6385
118	9264	6306
119	9340	6226
120	9415	6147
121	9491	6068
122	9567	5989
123	9644	5910
124	9718	5831
125	9794	5752
126	9867	5671
127	9946	5594
128	10021	5515
129	10099	5438
130	10174	5359
131	10250	5280
132	10326	5202
133	10401	5123
134	10477	5044
135	10553	4966
136	10627	4887
137	10701	4807
138	10776	4729
139	10851	4650
140	10927	4572
141	11001	4493
142	11075	4414
143	11151	4336
144	11226	4258
145	11303	4180
146	11378	4102
147	11453	4024
148	11529	3946
149	11605	3868
150	11678	3789
151	11755	3712
152	11837	3636
153	11914	3558
154	11990	3481
155	12065	3403
156	12141	3325
157	12217	3247
158	12292	3169
159	12367	3091
160	12443	3014
161	12518	2936
162	12593	2858
163	12669	2781
164	12747	2704
165	12822	2626
166	12911	2551
167	12986	2473
168	13061	2395
169	13140	2318
170	13215	2241
171	13288	2163
172	13363	2085
173	13438	2008
174	13515	1930
175	13590	1853
176	13665	1775
177	13741	1698
178	13817	1621
179	13894	1543
180	13970	1466
181	14046	1389
182	14122	1311
183	14196	1234
184	14273	1157
185	14346	1079
186	14423	1002
187	14499	925
188	14576	848
189	14649	771
190	14723	693
191	14797	616
192	14874	539
193	14952	462
194	15027	385
195	15104	308
196	15179	231
197	15255	154
198	15329	77
199	15403	0
